snapshot_index,spoold_mem_fraction,spad_mem_fraction,total_mem,free_mem,used_mem,buff_cache_mem,total_swap,free_swap,used_swap,avail_mem,operation,num_streams,dedup_ratio,run_timestamp
149,0.111,0.003,65199836,3042184,16001000,46156652,67108860,65361916,1746944,41893900,backup,60,0.0,2019-10-22 14:53:42
150,0.111,0.003,65199836,3430608,16001988,45767240,67108860,65361660,1747200,41892696,backup,60,0.0,2019-10-22 14:53:42
151,0.111,0.003,65199836,2966188,15986588,46247060,67108860,65361660,1747200,41906924,backup,60,0.0,2019-10-22 14:53:42
152,0.111,0.003,65199836,3228300,15991792,45979744,67108860,65361660,1747200,41900724,backup,60,0.0,2019-10-22 14:53:42
153,0.111,0.003,65199836,3524008,16005376,45670452,67108860,65361660,1747200,41889336,backup,60,0.0,2019-10-22 14:53:42
154,0.111,0.003,65199836,3201440,15998868,45999528,67108860,65361660,1747200,41895380,backup,60,0.0,2019-10-22 14:53:42
155,0.111,0.003,65199836,3405004,16000128,45794704,67108860,65361404,1747456,41893868,backup,60,0.0,2019-10-22 14:53:42
156,0.111,0.003,65199836,2934792,15999932,46265112,67108860,65361404,1747456,41893532,backup,60,0.0,2019-10-22 14:53:42
157,0.111,0.003,65199836,3223472,15996264,45980100,67108860,65361148,1747712,41901680,backup,60,0.0,2019-10-22 14:53:42
158,0.111,0.003,65199836,3491100,16000200,45708536,67108860,65361148,1747712,41897188,backup,60,0.0,2019-10-22 14:53:42
159,0.111,0.003,65199836,3009484,16010812,46179540,67108860,65361148,1747712,41887752,backup,60,0.0,2019-10-22 14:53:42
160,0.111,0.003,65199836,3235236,15996780,45967820,67108860,65361148,1747712,41901396,backup,60,0.0,2019-10-22 14:53:42
161,0.111,0.003,65199836,3020148,16005668,46174020,67108860,65361148,1747712,41892444,backup,60,0.0,2019-10-22 14:53:42
162,0.111,0.003,65199836,3850936,16005220,45343680,67108860,65360892,1747968,41893612,backup,60,0.0,2019-10-22 14:53:42
163,0.111,0.003,65199836,3569584,16009396,45620856,67108860,65360892,1747968,41889240,backup,60,0.0,2019-10-22 14:53:42
164,0.111,0.003,65199836,3133860,16018292,46047684,67108860,65360892,1747968,41880552,backup,60,0.0,2019-10-22 14:53:42
165,0.111,0.003,65199836,3271100,16005460,45923276,67108860,65360636,1748224,41892132,backup,60,0.0,2019-10-22 14:53:42
166,0.111,0.003,65199836,2946204,16009576,46244056,67108860,65360636,1748224,41888332,backup,60,0.0,2019-10-22 14:53:42
167,0.111,0.003,65199836,3188728,16006064,46005044,67108860,65360380,1748480,41893868,backup,60,0.0,2019-10-22 14:53:42
168,0.111,0.003,65199836,3466324,15988880,45744632,67108860,65360380,1748480,41908276,backup,60,0.0,2019-10-22 14:53:42
169,0.111,0.003,65199836,2949252,15998720,46251864,67108860,65360380,1748480,41900156,backup,60,0.0,2019-10-22 14:53:42
170,0.111,0.003,65199836,3369020,16017872,45812944,67108860,65360380,1748480,41882516,backup,60,0.0,2019-10-22 14:53:42
171,0.111,0.003,65199836,3009856,15991708,46198272,67108860,65360380,1748480,41912632,backup,60,0.0,2019-10-22 14:53:42
172,0.111,0.003,65199836,3248696,15983104,45968036,67108860,65360124,1748736,41922144,backup,60,0.0,2019-10-22 14:53:42
173,0.111,0.003,65199836,2894132,15975912,46329792,67108860,65360124,1748736,41928976,backup,60,0.0,2019-10-22 14:53:42
174,0.111,0.003,65199836,3178360,15988372,46033104,67108860,65359608,1749252,41917072,backup,60,0.0,2019-10-22 14:53:42
175,0.111,0.003,65199836,3446060,15972036,45781740,67108860,65359352,1749508,41932816,backup,60,0.0,2019-10-22 14:53:42
176,0.111,0.003,65199836,2907944,15973564,46318328,67108860,65359352,1749508,41930108,backup,60,0.0,2019-10-22 14:53:42
177,0.111,0.003,65199836,3122220,16039584,46038032,67108860,65359096,1749764,41864272,backup,60,0.0,2019-10-22 14:53:42
1,0.107,0.002,65199836,15508204,12576200,37115432,67108860,65419772,1689088,44143336,backup,1,0.0,2019-10-22 13:26:02
2,0.107,0.002,65199836,15512932,12570552,37116352,67108860,65419772,1689088,44148716,backup,1,0.0,2019-10-22 13:26:02
3,0.107,0.002,65199836,15512768,12570632,37116436,67108860,65419772,1689088,44148584,backup,1,0.0,2019-10-22 13:26:02
4,0.107,0.002,65199836,15504712,12570428,37124696,67108860,65419772,1689088,44144636,backup,1,0.0,2019-10-22 13:26:02
5,0.107,0.002,65199836,15489624,12579176,37131036,67108860,65419772,1689088,44132672,backup,1,0.0,2019-10-22 13:26:02
6,0.107,0.002,65199836,20743412,12557388,31899036,67108860,65419772,1689088,44157716,backup,1,0.0,2019-10-22 13:26:02
7,0.107,0.002,65199836,47947948,12325444,4926444,67108860,65419772,1689088,46581888,backup,1,0.0,2019-10-22 13:26:02
8,0.107,0.002,65199836,47999476,12324180,4876180,67108860,65419772,1689088,46608248,backup,1,0.0,2019-10-22 13:26:02
9,0.107,0.002,65199836,48000260,12323460,4876116,67108860,65419772,1689088,46608972,backup,1,0.0,2019-10-22 13:26:02
10,0.107,0.002,65199836,47992772,12323596,4883468,67108860,65419772,1689088,46605132,backup,1,0.0,2019-10-22 13:26:02
11,0.107,0.002,65199836,47992504,12323944,4883388,67108860,65419772,1689088,46604816,backup,1,0.0,2019-10-22 13:26:02
12,0.107,0.002,65199836,47991860,12324600,4883376,67108860,65419772,1689088,46604112,backup,1,0.0,2019-10-22 13:26:02
13,0.107,0.002,65199836,47996436,12323320,4880080,67108860,65419772,1689088,46607000,backup,1,0.0,2019-10-22 13:26:02
14,0.107,0.002,65199836,47996560,12323128,4880148,67108860,65419772,1689088,46607136,backup,1,0.0,2019-10-22 13:26:02
15,0.107,0.002,65199836,47995852,12323776,4880208,67108860,65419772,1689088,46606428,backup,1,0.0,2019-10-22 13:26:02
16,0.107,0.002,65199836,47987840,12323588,4888408,67108860,65419772,1689088,46602480,backup,1,0.0,2019-10-22 13:26:02
17,0.107,0.002,65199836,47981128,12323872,4894836,67108860,65419772,1689088,46598952,backup,1,0.0,2019-10-22 13:26:02
18,0.107,0.002,65199836,47973840,12330812,4895184,67108860,65419772,1689088,46591812,backup,1,0.0,2019-10-22 13:26:02
1,0.11,0.002,65199836,3429976,14324396,47445464,67108860,65373948,1734912,43612912,backup,40,0.5,2019-10-22 14:35:40
2,0.11,0.002,65199836,3158468,14330824,47710544,67108860,65373948,1734912,43606884,backup,40,0.5,2019-10-22 14:35:40
3,0.11,0.002,65199836,3699648,14334656,47165532,67108860,65373692,1735168,43603240,backup,40,0.5,2019-10-22 14:35:40
4,0.11,0.002,65199836,3285080,14329328,47585428,67108860,65373692,1735168,43608504,backup,40,0.5,2019-10-22 14:35:40
5,0.11,0.002,65199836,2985136,14304224,47910476,67108860,65373692,1735168,43633472,backup,40,0.5,2019-10-22 14:35:40
6,0.11,0.002,65199836,3335372,14304964,47559500,67108860,65373436,1735424,43632788,backup,40,0.5,2019-10-22 14:35:40
7,0.11,0.002,65199836,2964464,14307456,47927916,67108860,65373436,1735424,43630936,backup,40,0.5,2019-10-22 14:35:40
8,0.11,0.002,65199836,3224032,14314812,47660992,67108860,65373436,1735424,43622472,backup,40,0.5,2019-10-22 14:35:40
9,0.11,0.002,65199836,3425388,14309768,47464680,67108860,65373436,1735424,43627944,backup,40,0.5,2019-10-22 14:35:40
10,0.11,0.002,65199836,3194992,14294720,47710124,67108860,65373692,1735168,43644208,backup,40,0.5,2019-10-22 14:35:40
11,0.11,0.002,65199836,3418728,14307340,47473768,67108860,65373692,1735168,43628832,backup,40,0.5,2019-10-22 14:35:40
12,0.11,0.002,65199836,3097740,14307052,47795044,67108860,65373692,1735168,43630472,backup,40,0.5,2019-10-22 14:35:40
13,0.11,0.002,65199836,12739820,14317892,38142124,67108860,65373692,1735168,43619100,backup,40,0.5,2019-10-22 14:35:40
14,0.11,0.002,65199836,12460476,14298452,38440908,67108860,65373692,1735168,43642988,backup,40,0.5,2019-10-22 14:35:40
15,0.11,0.002,65199836,11850704,14327656,39021476,67108860,65373692,1735168,43613672,backup,40,0.5,2019-10-22 14:35:40
16,0.11,0.003,65199836,11445888,14330836,39423112,67108860,65373692,1735168,43610396,backup,40,0.5,2019-10-22 14:35:40
17,0.11,0.003,65199836,11163416,14341408,39695012,67108860,65373692,1735168,43599784,backup,40,0.5,2019-10-22 14:35:40
