snapshot_index,spoold_mem_fraction,spad_mem_fraction,total_mem,free_mem,used_mem,buff_cache_mem,total_swap,free_swap,used_swap,avail_mem,operation,num_streams,dedup_ratio,run_timestamp
42,0.166,0.005,65199836,22018016,18534568,24647252,67108860,67108860,0,37982860,backup,40,0.0,2019-10-24 13:41:07
43,0.166,0.005,65199836,22017424,18535008,24647404,67108860,67108860,0,37982356,backup,40,0.0,2019-10-24 13:41:07
44,0.166,0.005,65199836,22016048,18536240,24647548,67108860,67108860,0,37981048,backup,40,0.0,2019-10-24 13:41:07
45,0.166,0.005,65199836,22016064,18536136,24647636,67108860,67108860,0,37981072,backup,40,0.0,2019-10-24 13:41:07
46,0.166,0.005,65199836,22016116,18536020,24647700,67108860,67108860,0,37981128,backup,40,0.0,2019-10-24 13:41:07
47,0.166,0.005,65199836,22013408,18533960,24652468,67108860,67108860,0,37983236,backup,40,0.0,2019-10-24 13:41:07
48,0.166,0.005,65199836,22013300,18533996,24652540,67108860,67108860,0,37983132,backup,40,0.0,2019-10-24 13:41:07
49,0.166,0.005,65199836,22012920,18534300,24652616,67108860,67108860,0,37982764,backup,40,0.0,2019-10-24 13:41:07
50,0.166,0.005,65199836,22012292,18534844,24652700,67108860,67108860,0,37982148,backup,40,0.0,2019-10-24 13:41:07
51,0.166,0.005,65199836,22012100,18534960,24652776,67108860,67108860,0,37981964,backup,40,0.0,2019-10-24 13:41:07
52,0.166,0.005,65199836,22012792,18534176,24652868,67108860,67108860,0,37982672,backup,40,0.0,2019-10-24 13:41:07
53,0.166,0.005,65199836,22008084,18533972,24657780,67108860,67108860,0,37982820,backup,40,0.0,2019-10-24 13:41:07
54,0.166,0.005,65199836,22003356,18534692,24661788,67108860,67108860,0,37982000,backup,40,0.0,2019-10-24 13:41:07
55,0.166,0.005,65199836,22002652,18535232,24661952,67108860,67108860,0,37981368,backup,40,0.0,2019-10-24 13:41:07
56,0.166,0.005,65199836,22002952,18534856,24662028,67108860,67108860,0,37981700,backup,40,0.0,2019-10-24 13:41:07
57,0.166,0.005,65199836,22003036,18534636,24662164,67108860,67108860,0,37981836,backup,40,0.0,2019-10-24 13:41:07
58,0.166,0.005,65199836,22002848,18534764,24662224,67108860,67108860,0,37981648,backup,40,0.0,2019-10-24 13:41:07
59,0.166,0.005,65199836,21998636,18533976,24667224,67108860,67108860,0,37982376,backup,40,0.0,2019-10-24 13:41:07
60,0.166,0.005,65199836,21999312,18533204,24667320,67108860,67108860,0,37983068,backup,40,0.0,2019-10-24 13:41:07
61,0.166,0.005,65199836,21997492,18534936,24667408,67108860,67108860,0,37981264,backup,40,0.0,2019-10-24 13:41:07
62,0.166,0.005,65199836,21997684,18534664,24667488,67108860,67108860,0,37981468,backup,40,0.0,2019-10-24 13:41:07
63,0.166,0.005,65199836,21998288,18533904,24667644,67108860,67108860,0,37982112,backup,40,0.0,2019-10-24 13:41:07
64,0.166,0.005,65199836,21998576,18533540,24667720,67108860,67108860,0,37982420,backup,40,0.0,2019-10-24 13:41:07
65,0.166,0.005,65199836,21993404,18533584,24672848,67108860,67108860,0,37982308,backup,40,0.0,2019-10-24 13:41:07
66,0.166,0.005,65199836,21989472,18533464,24676900,67108860,67108860,0,37982352,backup,40,0.0,2019-10-24 13:41:07
67,0.166,0.005,65199836,21988396,18534380,24677060,67108860,67108860,0,37981360,backup,40,0.0,2019-10-24 13:41:07
68,0.166,0.005,65199836,21988200,18534472,24677164,67108860,67108860,0,37981196,backup,40,0.0,2019-10-24 13:41:07
69,0.166,0.005,65199836,21988444,18534144,24677248,67108860,67108860,0,37981456,backup,40,0.0,2019-10-24 13:41:07
70,0.166,0.005,65199836,21988444,18534072,24677320,67108860,67108860,0,37981460,backup,40,0.0,2019-10-24 13:41:07
71,0.166,0.005,65199836,21985040,18532612,24682184,67108860,67108860,0,37982868,backup,40,0.0,2019-10-24 13:41:07
72,0.166,0.005,65199836,21984916,18532664,24682256,67108860,67108860,0,37982748,backup,40,0.0,2019-10-24 13:41:07
73,0.166,0.005,65199836,21983848,18533656,24682332,67108860,67108860,0,37981688,backup,40,0.0,2019-10-24 13:41:07
74,0.166,0.005,65199836,21983120,18534316,24682400,67108860,67108860,0,37980960,backup,40,0.0,2019-10-24 13:41:07
75,0.166,0.005,65199836,21983308,18534032,24682496,67108860,67108860,0,37981160,backup,40,0.0,2019-10-24 13:41:07
76,0.166,0.005,65199836,21983804,18533472,24682560,67108860,67108860,0,37981664,backup,40,0.0,2019-10-24 13:41:07
77,0.166,0.005,65199836,21978480,18533868,24687488,67108860,67108860,0,37981208,backup,40,0.0,2019-10-24 13:41:07
78,0.166,0.005,65199836,21975148,18533144,24691544,67108860,67108860,0,37981832,backup,40,0.0,2019-10-24 13:41:07
79,0.166,0.005,65199836,21974600,18533528,24691708,67108860,67108860,0,37981368,backup,40,0.0,2019-10-24 13:41:07
80,0.166,0.005,65199836,21974456,18533572,24691808,67108860,67108860,0,37981248,backup,40,0.0,2019-10-24 13:41:07
81,0.166,0.005,65199836,21974680,18533228,24691928,67108860,67108860,0,37981516,backup,40,0.0,2019-10-24 13:41:07
82,0.166,0.005,65199836,21974680,18533168,24691988,67108860,67108860,0,37981516,backup,40,0.0,2019-10-24 13:41:07
83,0.166,0.005,65199836,21970768,18532012,24697056,67108860,67108860,0,37982608,backup,40,0.0,2019-10-24 13:41:07
84,0.166,0.005,65199836,21970892,18531808,24697136,67108860,67108860,0,37982736,backup,40,0.0,2019-10-24 13:41:07
85,0.166,0.005,65199836,21970112,18532516,24697208,67108860,67108860,0,37981972,backup,40,0.0,2019-10-24 13:41:07
86,0.166,0.005,65199836,21969024,18533520,24697292,67108860,67108860,0,37980896,backup,40,0.0,2019-10-24 13:41:07
87,0.166,0.005,65199836,21969012,18533360,24697464,67108860,67108860,0,37980936,backup,40,0.0,2019-10-24 13:41:07
88,0.166,0.005,65199836,21969136,18533172,24697528,67108860,67108860,0,37981056,backup,40,0.0,2019-10-24 13:41:07
89,0.166,0.005,65199836,21963860,18533600,24702376,67108860,67108860,0,37980580,backup,40,0.0,2019-10-24 13:41:07
90,0.166,0.005,65199836,21960784,18532516,24706536,67108860,67108860,0,37981588,backup,40,0.0,2019-10-24 13:41:07
91,0.166,0.005,65199836,21959416,18533692,24706728,67108860,67108860,0,37980320,backup,40,0.0,2019-10-24 13:41:07
92,0.166,0.005,65199836,21960316,18532704,24706816,67108860,67108860,0,37981224,backup,40,0.0,2019-10-24 13:41:07
93,0.166,0.005,65199836,21960376,18532568,24706892,67108860,67108860,0,37981300,backup,40,0.0,2019-10-24 13:41:07
94,0.166,0.005,65199836,21960376,18532504,24706956,67108860,67108860,0,37981304,backup,40,0.0,2019-10-24 13:41:07
95,0.166,0.005,65199836,21956168,18531588,24712080,67108860,67108860,0,37982148,backup,40,0.0,2019-10-24 13:41:07
96,0.166,0.005,65199836,21956292,18531384,24712160,67108860,67108860,0,37982280,backup,40,0.0,2019-10-24 13:41:07
97,0.166,0.005,65199836,21947904,18539700,24712232,67108860,67108860,0,37973904,backup,40,0.0,2019-10-24 13:41:07
98,0.166,0.005,65199836,21954892,18532632,24712312,67108860,67108860,0,37980896,backup,40,0.0,2019-10-24 13:41:07
1,0.166,0.005,65199836,21933804,18533860,24732172,67108860,67108860,0,37977480,backup,40,0.5,2019-10-24 13:49:58
2,0.166,0.005,65199836,21934228,18532380,24733228,67108860,67108860,0,37978552,backup,40,0.5,2019-10-24 13:49:58
3,0.166,0.005,65199836,21934260,18532280,24733296,67108860,67108860,0,37978592,backup,40,0.5,2019-10-24 13:49:58
4,0.166,0.005,65199836,21933568,18532912,24733356,67108860,67108860,0,37977904,backup,40,0.5,2019-10-24 13:49:58
5,0.166,0.005,65199836,21934204,18532128,24733504,67108860,67108860,0,37978568,backup,40,0.5,2019-10-24 13:49:58
6,0.166,0.005,65199836,21934040,18532204,24733592,67108860,67108860,0,37978436,backup,40,0.5,2019-10-24 13:49:58
7,0.166,0.005,65199836,21928364,18533560,24737912,67108860,67108860,0,37977024,backup,40,0.5,2019-10-24 13:49:58
8,0.166,0.005,65199836,21923260,18534448,24742128,67108860,67108860,0,37976068,backup,40,0.5,2019-10-24 13:49:58
9,0.166,0.005,65199836,21923852,18533344,24742640,67108860,67108860,0,37977108,backup,40,0.5,2019-10-24 13:49:58
10,0.166,0.005,65199836,21923248,18533744,24742844,67108860,67108860,0,37976624,backup,40,0.5,2019-10-24 13:49:58
11,0.166,0.005,65199836,21923264,18533640,24742932,67108860,67108860,0,37976644,backup,40,0.5,2019-10-24 13:49:58
12,0.166,0.005,65199836,21922460,18534384,24742992,67108860,67108860,0,37975848,backup,40,0.5,2019-10-24 13:49:58
13,0.166,0.005,65199836,21918224,18533808,24747804,67108860,67108860,0,37976368,backup,40,0.5,2019-10-24 13:49:58
14,0.166,0.005,65199836,21918828,18533076,24747932,67108860,67108860,0,37977040,backup,40,0.5,2019-10-24 13:49:58
15,0.166,0.005,65199836,21918704,18533136,24747996,67108860,67108860,0,37976920,backup,40,0.5,2019-10-24 13:49:58
16,0.166,0.005,65199836,21917528,18534220,24748088,67108860,67108860,0,37975760,backup,40,0.5,2019-10-24 13:49:58
17,0.166,0.005,65199836,21917652,18534024,24748160,67108860,67108860,0,37975888,backup,40,0.5,2019-10-24 13:49:58
18,0.166,0.005,65199836,21918156,18533432,24748248,67108860,67108860,0,37976404,backup,40,0.5,2019-10-24 13:49:58
19,0.166,0.005,65199836,21913320,18533456,24753060,67108860,67108860,0,37976324,backup,40,0.5,2019-10-24 13:49:58
20,0.166,0.005,65199836,21909864,18532948,24757024,67108860,67108860,0,37976728,backup,40,0.5,2019-10-24 13:49:58
21,0.166,0.005,65199836,21908956,18533760,24757120,67108860,67108860,0,37975860,backup,40,0.5,2019-10-24 13:49:58
22,0.166,0.005,65199836,21908780,18533736,24757320,67108860,67108860,0,37975816,backup,40,0.5,2019-10-24 13:49:58
23,0.166,0.005,65199836,21908788,18533628,24757420,67108860,67108860,0,37975836,backup,40,0.5,2019-10-24 13:49:58
24,0.166,0.005,65199836,21909028,18533324,24757484,67108860,67108860,0,37976088,backup,40,0.5,2019-10-24 13:49:58
25,0.166,0.005,65199836,21903980,18533716,24762140,67108860,67108860,0,37975632,backup,40,0.5,2019-10-24 13:49:58
26,0.166,0.005,65199836,21904956,18532276,24762604,67108860,67108860,0,37977008,backup,40,0.5,2019-10-24 13:49:58
27,0.166,0.005,65199836,21904956,18532220,24762660,67108860,67108860,0,37977008,backup,40,0.5,2019-10-24 13:49:58
28,0.166,0.005,65199836,21903168,18533924,24762744,67108860,67108860,0,37975232,backup,40,0.5,2019-10-24 13:49:58
29,0.166,0.005,65199836,21903904,18533032,24762900,67108860,67108860,0,37976016,backup,40,0.5,2019-10-24 13:49:58
30,0.166,0.005,65199836,21904152,18532660,24763024,67108860,67108860,0,37976312,backup,40,0.5,2019-10-24 13:49:58
31,0.166,0.005,65199836,21899080,18533076,24767680,67108860,67108860,0,37975836,backup,40,0.5,2019-10-24 13:49:58
32,0.166,0.005,65199836,21894392,18533372,24772072,67108860,67108860,0,37975468,backup,40,0.5,2019-10-24 13:49:58
33,0.166,0.005,65199836,21893864,18533800,24772172,67108860,67108860,0,37974968,backup,40,0.5,2019-10-24 13:49:58
34,0.166,0.005,65199836,21894260,18533308,24772268,67108860,67108860,0,37975388,backup,40,0.5,2019-10-24 13:49:58
